Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2RVIC,202,20201,202011022,SA2,Kangaroo Flat - Golden Square,"2,007","2,374","1,096",109,336,"2,812","8,734",,"2,130","2,535","1,150",111,341,"3,021","9,288",,"2,262","2,697","1,222",117,346,"3,266","9,910",,"2,364","2,872","1,303",123,363,"3,518","10,543",,"2,443","3,049","1,375",128,380,"3,766","11,142"
2RVIC,202,20201,202011023,SA2,Maiden Gully,895,458,118,3,16,194,"1,684",,998,562,133,5,20,242,"1,960",,"1,164",722,154,8,28,330,"2,406",,"1,381",901,180,13,43,453,"2,971",,"1,638","1,129",215,15,70,620,"3,687"
2RVIC,202,20201,202011024,SA2,Strathfieldsaye,"1,402",885,277,9,32,353,"2,958",,"1,641","1,158",340,12,46,478,"3,675",,"1,957","1,508",414,16,59,644,"4,597",,"2,306","1,872",495,18,74,823,"5,589",,"2,677","2,233",579,19,85,"1,011","6,604"
2RVIC,202,20201,202011025,SA2,White Hills - Ascot,"1,543","1,248",642,36,168,960,"4,597",,"1,949","1,563",788,46,209,"1,207","5,762",,"2,351","1,801",934,53,239,"1,408","6,786",,"2,717","2,032","1,095",62,282,"1,628","7,816",,"3,057","2,283","1,249",71,330,"1,848","8,837"
2RVIC,202,20202,202021026,SA2,Bendigo Region - South,"1,109",906,193,9,50,399,"2,666",,"1,266","1,023",210,10,56,457,"3,023",,"1,434","1,120",243,10,60,516,"3,382",,"1,605","1,212",282,11,64,574,"3,748",,"1,762","1,303",317,12,71,630,"4,095"
2RVIC,202,20202,202021027,SA2,Castlemaine,974,"1,231",529,42,184,"1,686","4,647",,"1,039","1,356",554,45,201,"1,842","5,038",,"1,086","1,445",573,48,207,"1,964","5,323",,"1,115","1,517",601,50,213,"2,066","5,562",,"1,138","1,586",635,52,220,"2,170","5,801"
2RVIC,202,20202,202021028,SA2,Castlemaine Region,935,"1,318",306,24,129,"1,123","3,836",,922,"1,417",309,24,135,"1,217","4,025",,920,"1,494",315,23,141,"1,308","4,201",,928,"1,542",331,23,145,"1,401","4,371",,941,"1,581",345,23,150,"1,488","4,528"
2RVIC,202,20202,202021029,SA2,Heathcote,445,704,204,13,69,650,"2,086",,470,769,215,14,75,703,"2,246",,488,811,221,16,82,765,"2,384",,500,857,235,16,88,818,"2,514",,522,900,257,17,91,889,"2,676"
2RVIC,202,20202,202021030,SA2,Kyneton,"1,147","1,223",405,25,111,"1,114","4,025",,"1,227","1,351",438,27,118,"1,248","4,409",,"1,302","1,459",469,28,120,"1,378","4,756",,"1,374","1,561",503,29,124,"1,514","5,104",,"1,433","1,679",535,30,134,"1,643","5,455"
2RVIC,202,20202,202021031,SA2,Woodend,"1,021",765,272,28,26,568,"2,680",,"1,077",904,301,33,30,679,"3,024",,"1,130",991,325,38,32,784,"3,300",,"1,195","1,050",358,42,34,874,"3,553",,"1,277","1,093",394,41,35,956,"3,796"
2RVIC,202,20203,202031032,SA2,Bendigo Region - North,584,569,159,8,27,417,"1,764",,596,630,161,8,30,457,"1,881",,596,662,165,8,32,497,"1,959",,594,681,166,9,32,553,"2,035",,599,701,179,8,33,603,"2,123"
2RVIC,202,20203,202031033,SA2,Loddon,711,"1,046",245,19,101,"1,130","3,252",,680,"1,067",244,20,108,"1,138","3,257",,675,"1,076",246,22,108,"1,156","3,283",,695,"1,065",250,20,108,"1,169","3,307",,717,"1,029",253,17,105,"1,164","3,285"
2RVIC,203,20301,203011034,SA2,Bannockburn,"1,035",616,198,20,26,285,"2,180",,"1,270",761,246,24,32,354,"2,687",,"1,537",932,303,31,39,436,"3,278",,"1,799","1,127",365,37,48,533,"3,909",,"2,046","1,346",424,43,58,642,"4,559"
2RVIC,203,20301,203011035,SA2,Golden Plains - South,"1,003",787,231,16,32,493,"2,562",,"1,079",897,254,18,34,574,"2,856",,"1,164","1,016",283,20,39,660,"3,181",,"1,258","1,119",320,21,43,764,"3,525",,"1,339","1,218",356,22,45,877,"3,858"
2RVIC,203,20301,203011036,SA2,Winchelsea,787,726,181,24,45,433,"2,196",,784,812,189,26,47,484,"2,342",,796,892,197,26,48,537,"2,496",,818,949,205,26,49,593,"2,640",,838,985,212,30,49,639,"2,754"
2RVIC,203,20302,203021037,SA2,Belmont,"1,500","1,555",710,65,346,"2,183","6,359",,"1,556","1,629",727,68,370,"2,252","6,603",,"1,608","1,680",745,71,378,"2,308","6,791",,"1,665","1,722",769,74,396,"2,384","7,011",,"1,716","1,772",801,78,423,"2,474","7,265"
2RVIC,203,20302,203021038,SA2,Corio - Norlane,"2,575","2,179","2,198",154,406,"3,407","10,919",,"2,649","2,382","2,277",164,436,"3,667","11,576",,"2,778","2,561","2,393",171,462,"3,938","12,305",,"2,972","2,736","2,582",178,489,"4,284","13,241",,"3,435","3,043","3,011",191,538,"4,940","15,159"
2RVIC,203,20302,203021039,SA2,Geelong,"1,255","1,502",576,77,412,"2,176","5,998",,"1,269","1,664",597,85,452,"2,396","6,461",,"1,299","1,814",622,89,472,"2,618","6,914",,"1,356","1,922",656,91,479,"2,836","7,341",,"1,418","1,985",697,92,486,"3,037","7,714"
2RVIC,203,20302,203021040,SA2,Geelong West - Hamlyn Heights,"2,298","2,108",896,109,467,"3,030","8,907",,"2,435","2,287",938,114,496,"3,225","9,495",,"2,576","2,450",986,121,513,"3,427","10,072",,"2,761","2,660","1,063",131,540,"3,753","10,908",,"2,999","2,957","1,195",145,584,"4,247","12,127"
2RVIC,203,20302,203021041,SA2,Grovedale,"2,922","2,590",981,99,410,"2,198","9,201",,"4,245","3,742","1,394",135,524,"3,086","13,125",,"5,616","4,802","1,838",162,606,"4,071","17,096",,"6,838","5,819","2,293",188,702,"5,064","20,904",,"7,784","6,876","2,715",221,817,"6,078","24,492"
2RVIC,203,20302,203021042,SA2,Highton,"3,078","2,424",628,57,334,"1,794","8,315",,"3,253","2,499",647,66,395,"1,813","8,673",,"3,540","2,580",691,71,425,"1,864","9,171",,"3,857","2,593",739,75,446,"1,921","9,631",,"4,102","2,598",786,78,468,"1,980","10,012"
2RVIC,203,20302,203021043,SA2,Lara,"2,490","1,765",720,55,125,"1,237","6,393",,"2,902","2,172",851,64,150,"1,532","7,672",,"3,286","2,510",971,70,168,"1,802","8,806",,"3,628","2,799","1,095",76,185,"2,075","9,859",,"3,932","3,122","1,228",84,207,"2,362","10,935"
2RVIC,203,20302,203021044,SA2,Leopold,"1,727","1,543",577,40,111,"1,164","5,163",,"1,905","1,695",629,45,126,"1,282","5,682",,"2,125","1,886",693,47,137,"1,442","6,330",,"2,304","2,036",753,50,148,"1,600","6,891",,"2,440","2,169",813,52,160,"1,749","7,383"
2RVIC,203,20302,203021045,SA2,Newcomb - Moolap,"1,439","1,624","1,011",86,238,"2,237","6,635",,"1,433","1,834","1,031",90,252,"2,496","7,135",,"1,444","2,006","1,047",90,251,"2,726","7,563",,"1,462","2,131","1,077",90,252,"2,946","7,958",,"1,476","2,229","1,128",90,252,"3,159","8,334"
2RVIC,203,20302,203021046,SA2,Newtown (Vic.),"1,357","1,128",364,39,180,"1,241","4,309",,"1,407","1,213",373,43,191,"1,304","4,531",,"1,468","1,282",387,44,201,"1,392","4,775",,"1,537","1,347",406,45,211,"1,489","5,036",,"1,605","1,400",427,47,223,"1,591","5,295"
2RVIC,203,20302,203021047,SA2,North Geelong - Bell Park,"1,664","1,598",844,69,232,"1,936","6,343",,"1,759","1,668",888,72,243,"2,047","6,677",,"1,867","1,713",940,75,254,"2,138","6,986",,"1,984","1,769","1,004",79,268,"2,260","7,364",,"2,262","1,916","1,126",87,295,"2,434","8,120"
2RVIC,203,20303,203031048,SA2,Clifton Springs,"1,593","1,829",616,28,105,"1,395","5,566",,"1,903","2,256",732,34,130,"1,729","6,784",,"2,107","2,561",808,38,146,"1,995","7,656",,"2,250","2,805",875,42,162,"2,239","8,374",,"2,333","2,991",923,46,176,"2,454","8,922"
2RVIC,203,20303,203031049,SA2,Lorne - Anglesea,542,847,168,4,60,774,"2,396",,530,947,164,5,63,844,"2,552",,525,"1,012",161,5,61,897,"2,661",,525,"1,052",165,5,61,977,"2,784",,530,"1,075",175,4,59,"1,043","2,886"
2RVIC,203,20303,203031050,SA2,Ocean Grove - Barwon Heads,"3,271","2,779",903,58,224,"2,152","9,387",,"4,107","3,477","1,101",71,277,"2,688","11,720",,"4,929","4,120","1,331",83,327,"3,287","14,076",,"5,628","4,783","1,579",99,396,"3,949","16,435",,"6,117","5,443","1,773",115,465,"4,555","18,469"
2RVIC,203,20303,203031051,SA2,Portarlington,613,"1,376",313,17,104,"1,216","3,639",,656,"1,602",340,20,119,"1,419","4,156",,689,"1,806",366,24,129,"1,623","4,638",,734,"1,991",399,26,141,"1,836","5,127",,783,"2,154",439,28,154,"2,069","5,628"
2RVIC,203,20303,203031052,SA2,Point Lonsdale - Queenscliff,398,786,135,2,16,639,"1,977",,410,885,141,2,19,717,"2,173",,421,966,148,2,20,792,"2,349",,431,"1,020",155,2,22,862,"2,491",,444,"1,052",163,1,22,920,"2,601"
2RVIC,203,20303,203031053,SA2,Torquay,"2,776","2,117",570,54,258,"1,377","7,153",,"3,277","2,659",688,66,306,"1,746","8,741",,"3,712","3,221",804,78,357,"2,162","10,334",,"4,075","3,811",918,93,420,"2,611","11,929",,"4,284","4,257","1,000",101,468,"2,955","13,066"
2RVIC,204,20401,204011054,SA2,Alexandra,615,"1,117",197,9,81,"1,059","3,077",,623,"1,220",199,9,86,"1,174","3,312",,629,"1,298",212,9,89,"1,280","3,516",,635,"1,347",218,10,91,"1,370","3,672",,638,"1,392",227,9,93,"1,456","3,815"
2RVIC,204,20401,204011055,SA2,Euroa,558,"1,017",269,14,65,"1,060","2,983",,552,"1,084",264,14,67,"1,140","3,122",,549,"1,111",265,15,69,"1,200","3,210",,554,"1,124",273,15,70,"1,259","3,296",,566,"1,125",281,16,71,"1,307","3,365"
2RVIC,204,20401,204011056,SA2,Kilmore - Broadford,"1,767","1,454",666,50,141,"1,280","5,359",,"1,969","1,721",743,59,164,"1,517","6,173",,"2,187","1,994",828,67,186,"1,773","7,036",,"2,442","2,255",936,74,211,"2,034","7,952",,"2,683","2,480","1,039",80,234,"2,268","8,784"
2RVIC,204,20401,204011057,SA2,Mansfield (Vic.),898,"1,258",298,19,99,"1,228","3,801",,933,"1,402",321,23,105,"1,375","4,158",,957,"1,518",348,26,114,"1,541","4,504",,984,"1,621",371,27,130,"1,700","4,833",,"1,023","1,700",396,28,134,"1,834","5,114"
2RVIC,204,20401,204011058,SA2,Nagambie,444,619,128,9,50,567,"1,817",,482,675,139,10,53,625,"1,985",,513,725,153,10,55,673,"2,128",,537,765,163,9,59,729,"2,262",,559,802,171,9,62,781,"2,384"
2RVIC,204,20401,204011059,SA2,Seymour,600,715,447,27,107,997,"2,892",,605,774,447,27,97,"1,074","3,024",,611,816,452,27,90,"1,152","3,148",,611,840,457,28,86,"1,224","3,245",,605,863,464,28,85,"1,285","3,330"
2RVIC,204,20401,204011060,SA2,Seymour Region,617,501,115,7,24,305,"1,570",,607,512,116,7,25,315,"1,582",,601,543,112,9,28,331,"1,624",,602,561,112,11,28,347,"1,661",,601,574,117,12,31,359,"1,695"
2RVIC,204,20401,204011061,SA2,Upper Yarra Valley,34,27,8,0,1,19,90,,29,36,8,0,2,26,101,,26,45,9,1,2,30,113,,23,52,7,1,3,35,122,,22,57,8,1,3,38,130
2RVIC,204,20401,204011062,SA2,Yea,367,572,136,7,43,532,"1,656",,352,626,144,7,51,594,"1,774",,343,649,158,9,57,646,"1,862",,347,663,175,8,65,689,"1,948",,376,665,199,8,72,715,"2,036"
2RVIC,204,20402,204021063,SA2,Benalla,895,"1,472",546,43,145,"1,768","4,869",,877,"1,559",536,44,149,"1,849","5,013",,886,"1,630",530,44,151,"1,936","5,177",,906,"1,670",534,44,150,"2,021","5,326",,918,"1,700",538,45,153,"2,111","5,465"
2RVIC,204,20402,204021064,SA2,Benalla Region,440,619,109,2,40,333,"1,542",,453,647,110,2,42,341,"1,595",,457,663,112,2,42,353,"1,629",,469,669,120,2,46,370,"1,675",,478,670,127,2,45,399,"1,721"
2RVIC,204,20402,204021065,SA2,Rutherglen,437,543,167,8,38,521,"1,713",,437,600,173,8,43,570,"1,832",,431,639,170,9,45,622,"1,916",,439,660,169,8,45,671,"1,991",,448,668,170,8,46,714,"2,054"
2RVIC,204,20402,204021066,SA2,Wangaratta,"1,935","2,253",982,86,251,"2,859","8,366",,"1,967","2,469","1,003",92,264,"3,084","8,879",,"1,989","2,673","1,024",97,277,"3,302","9,362",,"2,029","2,849","1,051",102,290,"3,523","9,844",,"2,091","2,984","1,080",103,298,"3,737","10,293"
2RVIC,204,20402,204021067,SA2,Wangaratta Region,"1,252","1,428",249,25,79,894,"3,928",,"1,243","1,468",240,26,83,910,"3,970",,"1,246","1,489",250,27,86,930,"4,027",,"1,276","1,482",265,28,89,969,"4,109",,"1,322","1,466",274,28,89,986,"4,165"
2RVIC,204,20403,204031068,SA2,Beechworth,483,654,203,14,54,513,"1,920",,514,700,222,16,58,554,"2,064",,544,723,235,18,61,599,"2,181",,578,743,252,19,65,640,"2,297",,604,764,274,18,68,678,"2,406"
2RVIC,204,20403,204031069,SA2,Bright - Mount Beauty,833,"1,233",311,15,129,"1,155","3,677",,869,"1,277",321,16,138,"1,199","3,820",,882,"1,314",326,16,143,"1,237","3,917",,903,"1,339",343,17,151,"1,286","4,039",,926,"1,360",350,17,155,"1,333","4,141"
2RVIC,204,20403,204031070,SA2,Chiltern - Indigo Valley,396,436,107,0,30,319,"1,288",,394,454,104,0,31,313,"1,297",,393,471,102,0,30,322,"1,318",,396,478,98,0,28,342,"1,342",,403,478,99,0,30,375,"1,384"
2RVIC,204,20403,204031071,SA2,Myrtleford,486,684,195,24,38,680,"2,107",,458,714,188,24,41,714,"2,139",,446,741,187,24,40,745,"2,183",,453,744,186,24,41,768,"2,215",,462,740,193,25,41,788,"2,249"
2RVIC,204,20403,204031072,SA2,Towong,615,970,168,12,67,872,"2,704",,601,"1,022",161,14,73,925,"2,795",,610,"1,046",161,14,73,967,"2,871",,631,"1,035",164,12,72,"1,018","2,933",,648,"1,018",169,12,73,"1,073","2,994"
2RVIC,204,20403,204031073,SA2,West Wodonga,"1,809","1,701",840,41,173,"1,503","6,066",,"1,779","1,931",848,41,177,"1,704","6,481",,"1,758","2,195",864,43,185,"1,967","7,012",,"1,761","2,426",893,44,197,"2,229","7,550",,"1,791","2,604",917,42,203,"2,474","8,032"
2RVIC,204,20403,204031074,SA2,Wodonga,"2,810","2,707","1,286",97,350,"2,797","10,046",,"3,261","3,117","1,464",108,389,"3,224","11,563",,"3,765","3,631","1,687",123,437,"3,780","13,423",,"4,246","4,170","1,930",143,505,"4,384","15,379",,"4,707","4,748","2,160",161,577,"5,023","17,375"
2RVIC,204,20403,204031075,SA2,Yackandandah,647,607,133,0,14,359,"1,760",,660,677,134,0,17,401,"1,889",,683,726,137,0,18,453,"2,018",,715,765,148,0,21,499,"2,148",,748,786,153,0,22,545,"2,253"
2RVIC,205,20501,205011076,SA2,Drouin,"1,946","1,973",770,50,175,"1,660","6,574",,"2,331","2,372",916,58,207,"1,999","7,883",,"2,677","2,764","1,063",66,239,"2,366","9,175",,"3,038","3,203","1,230",79,285,"2,761","10,596",,"3,395","3,645","1,399",90,328,"3,172","12,030"
2RVIC,205,20501,205011077,SA2,Mount Baw Baw Region,745,863,198,15,42,619,"2,483",,723,932,199,15,44,682,"2,595",,712,965,209,15,46,749,"2,698",,714,979,221,15,49,823,"2,801",,721,977,236,14,50,890,"2,887"
2RVIC,205,20501,205011078,SA2,Trafalgar (Vic.),922,"1,070",331,15,64,835,"3,238",,983,"1,150",348,14,68,894,"3,458",,"1,045","1,242",368,14,72,974,"3,715",,"1,108","1,354",400,18,81,"1,098","4,060",,"1,172","1,473",432,20,90,"1,229","4,416"
2RVIC,205,20501,205011079,SA2,Warragul,"2,251","2,363",851,62,186,"2,052","7,765",,"2,513","2,769",950,70,211,"2,393","8,906",,"2,769","3,158","1,051",77,229,"2,777","10,061",,"3,055","3,530","1,175",87,257,"3,190","11,293",,"3,334","3,892","1,293",95,284,"3,586","12,484"
2RVIC,205,20502,205021080,SA2,Alps - East,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2RVIC,205,20502,205021081,SA2,Bairnsdale,"1,493","1,916",764,61,168,"2,104","6,506",,"1,618","2,139",817,63,180,"2,334","7,150",,"1,737","2,312",873,65,185,"2,549","7,720",,"1,860","2,469",941,68,197,"2,774","8,308",,"1,978","2,642","1,006",73,213,"3,009","8,921"
2RVIC,205,20502,205021082,SA2,Bruthen - Omeo,911,"1,225",271,15,82,843,"3,346",,936,"1,236",274,15,84,852,"3,396",,960,"1,224",284,15,85,860,"3,428",,998,"1,230",303,16,92,878,"3,517",,"1,044","1,239",315,17,98,903,"3,615"
2RVIC,205,20502,205021083,SA2,Lake King,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2RVIC,205,20502,205021084,SA2,Lakes Entrance,940,"1,692",421,16,134,"1,476","4,679",,943,"1,884",432,17,145,"1,637","5,059",,948,"2,047",440,19,152,"1,826","5,431",,976,"2,173",463,20,167,"2,035","5,834",,"1,012","2,277",490,21,178,"2,220","6,198"
2RVIC,205,20502,205021085,SA2,Orbost,594,"1,002",288,16,71,"1,175","3,145",,520,"1,067",265,14,76,"1,226","3,168",,477,"1,101",254,12,79,"1,291","3,215",,461,"1,104",258,11,78,"1,340","3,252",,461,"1,079",265,10,77,"1,365","3,257"
2RVIC,205,20502,205021086,SA2,Paynesville,518,"1,294",209,7,88,887,"3,004",,558,"1,423",225,8,100,998,"3,311",,589,"1,529",242,8,108,"1,100","3,575",,632,"1,620",269,9,119,"1,219","3,869",,680,"1,700",296,10,129,"1,321","4,137"
2RVIC,205,20503,205031087,SA2,Foster,897,"1,449",294,20,105,"1,424","4,189",,895,"1,547",298,19,109,"1,512","4,380",,890,"1,638",298,19,109,"1,598","4,550",,888,"1,690",313,19,111,"1,699","4,719",,881,"1,738",318,21,117,"1,794","4,868"
2RVIC,205,20503,205031088,SA2,French Island,9,24,2,0,1,21,57,,7,23,2,0,0,17,50,,6,22,2,0,1,16,48,,7,18,3,0,1,14,43,,7,14,2,0,1,12,36
2RVIC,205,20503,205031089,SA2,Korumburra,"1,077","1,230",343,23,65,"1,034","3,773",,"1,100","1,350",352,24,69,"1,120","4,016",,"1,125","1,455",360,26,74,"1,231","4,270",,"1,160","1,556",376,26,81,"1,349","4,548",,"1,212","1,644",394,27,87,"1,483","4,847"
2RVIC,205,20503,205031090,SA2,Leongatha,"1,324","1,481",434,24,97,"1,320","4,680",,"1,321","1,591",434,25,99,"1,422","4,893",,"1,339","1,710",444,27,104,"1,562","5,186",,"1,386","1,811",465,28,113,"1,707","5,510",,"1,441","1,906",483,29,121,"1,846","5,826"
